new_id	ID2	Glottocode	Form	consonant	vowel	C description	V description
121	sangu	sang1333	tayi	t	a	voiceless alveolar stop	low central vowel, unrounded
122	maori	maor1246	matua taane	t	a	voiceless alveolar stop	low central vowel, unrounded
123	albaniantosk	tosk1239	at		a		low central vowel, unrounded
124	tonsea	tons1240	ama'	m	a	bilabial nasal	low central vowel, unrounded
125	kota	kota1274	hangwè	w	a	voiced bilabial-velar approximant	low central vowel, unrounded
126	wiradjuri	wira1262	mama	m	a	bilabial nasal	low central vowel, unrounded
127	Seneca	sene1264	häʼ-nih	h	a	voiceless and voiced glottal fricative	low central vowel, unrounded
128	maguindanaomagindonaomoro	magu1243	bapa	b	a	voiced bilabial stop and fricative	low central vowel, unrounded
129	rotumans	rotu1241	oifā	f	a	voiceless labiodental fricative	low central vowel, unrounded
130	kiput	kipu1237	tameh	t	a	voiceless alveolar stop	low central vowel, unrounded
131	maskelynes	mask1242	atəma-	m	e	bilabial nasal	mid front vowel, rounded and unrounded
132	yortayorta	yort1237	n̪uŋui	n	u	voiceless and voiced alveolar nasal	high back vowel, rounded and unrounded
133	vao	vaoo1237	te	t	e	voiceless alveolar stop	mid front vowel, rounded and unrounded
134	irish	iris1253	athair	8	a	voiceless and voiced dental fricative	low central vowel, unrounded
135	gupapuyngu	gupa1247	dyawurlpa	d	a	voiced alveolar stop	low central vowel, unrounded
136	malapandaram	mala1468	aia	a	a		low central vowel, unrounded
137	kui	kuii1252	tanji	t	a	voiceless alveolar stop	low central vowel, unrounded
138	Tesuque	tesu1245	ta-ra	t	a	voiceless alveolar stop	low central vowel, unrounded
139	maranaolanaomoro	mara1404	ama	m	a	bilabial nasal	low central vowel, unrounded
140	yuwaalaraay	gami1243	pinu	p	i	voiceless bilabial stop and fricative	high front vowel, rounded and unrounded
141	ngulu	ngul1246	tate	t	a	voiceless alveolar stop	low central vowel, unrounded
142	pitjantjatjara	pitj1243	nyuyul	5	u	palatal nasal	high back vowel, rounded and unrounded
143	avarhiddialect	hidd1238	enso		e		mid front vowel, rounded and unrounded
144	kashaya	kash1280	ʔa:penʔ	7	a	voiceless glottal stop	low central vowel, unrounded
145	warumungu	waru1265	chin3	C	i	voiceless palato-alveolar affricate	high front vowel, rounded and unrounded
146	tarahumara	cent2131	onori		o		mid and low back vowel, rounded and unrounded
147	tarahumara	cent2131	norá	r	a	voiced apico-alveolar trill and all varieties of “r-sounds”	low central vowel, unrounded
148	hinuq	hinu1240	obu		o		mid and low back vowel, rounded and unrounded
149	futunans	east2447	Tamana	t	a	voiceless alveolar stop	low central vowel, unrounded
150	dari	dari1249	pedar	p	e	voiceless bilabial stop and fricative	mid front vowel, rounded and unrounded
151	siesye	siee1239	ndinme	n	i	voiceless and voiced alveolar nasal	high front vowel, rounded and unrounded
152	jingulu	djin1251	jakardini	j	a	voiced palato-alveolar affricate	low central vowel, unrounded
153	wogeo	woge1237	tina	t	i	voiceless alveolar stop	high front vowel, rounded and unrounded
154	hehe	hehe1240	yuva	y	u	palatal approximant	high back vowel, rounded and unrounded
155	northerntepehuan	nort2959	daáda		a		low central vowel, unrounded
156	ding	ding1239	ŋgwen	N	e	velar nasal	mid front vowel, rounded and unrounded
157	guuguyimidhirr	gugu1255	ngamu	N	a	velar nasal	low central vowel, unrounded
158	magam	maga1262	rahɛ-	r	a	voiced apico-alveolar trill and all varieties of “r-sounds”	low central vowel, unrounded
159	comanche	coma1245	pia	p	i	voiceless bilabial stop and fricative	high front vowel, rounded and unrounded
160	Tesuque	tesu1245	no-vi-ca	n	o	voiceless and voiced alveolar nasal	mid and low back vowel, rounded and unrounded
161	tuvalunanumea	tuva1244	maatua	m	a	bilabial nasal	low central vowel, unrounded
162	oldaramaic	olda1245	ʔemmā	m	e	bilabial nasal	mid front vowel, rounded and unrounded
163	ilokano	ilok1237	ina		i		high front vowel, rounded and unrounded
164	dhuwal	dhuw1249	ŋaːɳdi	N	a	velar nasal	low central vowel, unrounded
165	yandruwandha	yand1253	ngarndri	N	a	velar nasal	low central vowel, unrounded
166	arabana	arab1267	lhuka	l	u	voiced alveolar lateral approximate	high back vowel, rounded and unrounded
167	ilokano	ilok1237	nanag	n	a	voiceless and voiced alveolar nasal	low central vowel, unrounded
168	avar	avar1256	buba	b	u	voiced bilabial stop and fricative	high back vowel, rounded and unrounded
169	guigwi	gwii1239	ɟìē	j	i	voiced palato-alveolar affricate	high front vowel, rounded and unrounded
170	Lakota	lako1247	eʼ-nah		e		mid front vowel, rounded and unrounded
171	sika	sika1262	ina		i		high front vowel, rounded and unrounded
172	nage	nage1237	ine		i		high front vowel, rounded and unrounded
173	tungag	tung1290	nnʌ		u		high back vowel, rounded and unrounded
174	eravesouthkewa	erav1244	ama		a		low central vowel, unrounded
175	talisetolo	tali1259	nana	n	a	voiceless and voiced alveolar nasal	low central vowel, unrounded
176	trinitario	trin1274	-eno		e		mid front vowel, rounded and unrounded
177	mosetenchimane	mose1249	nonoʔ	n	o	voiceless and voiced alveolar nasal	mid and low back vowel, rounded and unrounded
178	duala	dual1243	ńongo	n	o	voiceless and voiced alveolar nasal	mid and low back vowel, rounded and unrounded
179	loniu	loni1238	yaya	j	a	voiced palato-alveolar affricate	low central vowel, unrounded
180	Arikara	arik1262	at-näʼ		a		low central vowel, unrounded
54	lau	lauu1247	maka	m	a	bilabial nasal	low central vowel, unrounded
43	serbocroation	sout1528	otac		o		mid and low back vowel, rounded and unrounded
26	chenchu	chen1255	tandri	t	a	voiceless alveolar stop	low central vowel, unrounded
60	komba	komb1273	awong	w	a	voiced bilabial-velar approximant	low central vowel, unrounded
10	Dakota	dako1258	ah-taʼ	t	a	voiceless alveolar stop	low central vowel, unrounded
58	sango	sang1331	tata	t	a	voiceless alveolar stop	low central vowel, unrounded
28	S'gaw Karen	sgaw1245	yǎ pä	j	a	voiced palato-alveolar affricate	low central vowel, unrounded
22	waiwai	waiw1244	yɨɨm	j	i	voiced palato-alveolar affricate	high front vowel, rounded and unrounded
36	bandjalang	band1339	maamong	m	a	bilabial nasal	low central vowel, unrounded
34	oroko	orok1266	tátá	t	a	voiceless alveolar stop	low central vowel, unrounded
4	indonesianbajau	indo1317	ua		u		high back vowel, rounded and unrounded
48	guuguyimidhirr	gugu1255	biiba	b	i	voiced bilabial stop and fricative	high front vowel, rounded and unrounded
47	dzonghkasha	dzon1239	'apa		a		low central vowel, unrounded
6	wiradjuri	wira1262	pappi-ya	p	a	voiceless bilabial stop and fricative	low central vowel, unrounded
30	kukatja	kuka1246	mama	m	a	bilabial nasal	low central vowel, unrounded
5	mangeisobjo	mang1407	nama	n	a	voiceless and voiced alveolar nasal	low central vowel, unrounded
38	unua	unua1237	mita	m	i	bilabial nasal	high front vowel, rounded and unrounded
1	fefe	fefe1239	mbà	m	a	bilabial nasal	low central vowel, unrounded
50	jaru	jaru1254	ngawiyi	N	a	velar nasal	low central vowel, unrounded
7	komodrc	komo1260	ape		a		low central vowel, unrounded
25	kiwaian	kiwa1251	abéra		a		low central vowel, unrounded
41	kaurna	kaur1267	ŋayiceɭi	N	a	velar nasal	low central vowel, unrounded
55	nhanta	nhan1238	amma		a		low central vowel, unrounded
33	wakaya	waga1260	ngulinthu	N	u	velar nasal	high back vowel, rounded and unrounded
12	Slaveyic	hare1243	sa-täʼ	t	a	voiceless alveolar stop	low central vowel, unrounded
52	khalkhamongolian	mong1331	aːw̜		a		low central vowel, unrounded
9	albaniantosk	tosk1239	ba'ba	b	a	voiced bilabial stop and fricative	low central vowel, unrounded
44	lewo	lewo1242	arima-		a		low central vowel, unrounded
18	wiradjuri	wira1262	påppin	p	a	voiceless bilabial stop and fricative	low central vowel, unrounded
14	xaracuucanala	xara1244	panɛɛ-	p	a	voiceless bilabial stop and fricative	low central vowel, unrounded
85	sungwalogenavenvene	mari1426	tai	t	a	voiceless alveolar stop	low central vowel, unrounded
67	kodi	kodi1247	inja		i		high front vowel, rounded and unrounded
105	tokelau	toke1240	mātua	m	a	bilabial nasal	low central vowel, unrounded
102	highlandpueblanahuatl	high1278	i-nan-c̷in	c	i	voiceless and voiced alveolar affricate	high front vowel, rounded and unrounded
104	dobu	dobu1241	sinana	n	i	voiceless and voiced alveolar nasal	high front vowel, rounded and unrounded
120	atsugewi	atsu1245	tcitci	c	i	voiceless and voiced alveolar affricate	high front vowel, rounded and unrounded
112	arabana	arab1267	aluka		a		low central vowel, unrounded
116	muduapavitu	mudu1242	titina-na	t	i	voiceless alveolar stop	high front vowel, rounded and unrounded
94	standardspanish	stan1288	mamá	m	a	bilabial nasal	low central vowel, unrounded
71	warrnambool	warr1257	ngirang	N	i	velar nasal	high front vowel, rounded and unrounded
90	maithili	mait1250	māy	m	a	bilabial nasal	low central vowel, unrounded
103	mangarevans	mang1401	kui	k	u	voiceless velar stop	high back vowel, rounded and unrounded
83	slovakian	slov1269	mať	m	a	bilabial nasal	low central vowel, unrounded
63	udmurt	udmu1245	mumɩ	m	u	bilabial nasal	high back vowel, rounded and unrounded
77	wawonii	wawo1239	tina	t	i	voiceless alveolar stop	high front vowel, rounded and unrounded
106	wangkumara	wong1246	ummaldja	m	u	bilabial nasal	high back vowel, rounded and unrounded
98	wangkajunga	wang1288	yipi	j	i	voiced palato-alveolar affricate	high front vowel, rounded and unrounded
113	meta	meta1238	ibəŋgɔ́p'	g	i	voiced velar stop	high front vowel, rounded and unrounded
66	kuwaru	boun1245	anum	n	a	voiceless and voiced alveolar nasal	low central vowel, unrounded
68	tarahumara	cent2131	eyeri	j	e	voiced palato-alveolar affricate	mid front vowel, rounded and unrounded
95	westfutuna	west2515	muma	m	u	bilabial nasal	high back vowel, rounded and unrounded
86	irish	iris1253	mathair	m	a	bilabial nasal	low central vowel, unrounded
80	gadang	gada1258	ina		i		high front vowel, rounded and unrounded
107	lisu	lisu1250	ama̠		a		low central vowel, unrounded
100	yanomami	yano1262	na-yə	n	a	voiceless and voiced alveolar nasal	low central vowel, unrounded
84	russian	russ1263	mat'	m	a	bilabial nasal	low central vowel, unrounded
89	suku	suku1259	ngudi	N	u	velar nasal	high back vowel, rounded and unrounded
61	lubalulua	luba1249	nyin	5	i	palatal nasal	high front vowel, rounded and unrounded
75	ngarluma	ngar1287	ngangka	N	a	velar nasal	low central vowel, unrounded
65	sangu	sang1333	nguyi	N	u	velar nasal	high back vowel, rounded and unrounded
